id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Nights,Velvet Pulse,hip-hop,moody,0.68,95,0.45,0.77,0.20
12,Golden Hour,Sunset Drive,indie,romantic,0.55,105,0.82,0.73,0.40
13,Deep Focus,Brainwave Lab,ambient,focused,0.30,65,0.50,0.35,0.90
14,Electric Rush,Neon Circuit,edm,energetic,0.95,140,0.88,0.91,0.05
15,Slow Heart,Blue Echo,rnb,sad,0.40,85,0.30,0.60,0.70
16,Country Roads Again,Oak & Pine,country,relaxed,0.50,98,0.75,0.65,0.60
17,Midnight Thoughts,Luna Grey,indie,sad,0.45,88,0.35,0.55,0.50
18,Festival Lights,DJ Nova,edm,happy,0.92,150,0.90,0.89,0.03
19,Classic Morning,Orchestra Vale,classical,calm,0.25,70,0.65,0.20,0.95
20,Street Energy,Urban Flow,hip-hop,intense,0.85,110,0.60,0.80,0.15

